Total Rounds,Useful Rounds,Disambiguateds,Most Powerful Keystroke,Highest KP,Mean KP, Median KP,Variance KP,Std Dev KP, Skew KP,70%KP@,80%KP@,90%KP@,Unresolved Never Names,Round When Lowest Never Names Achieved
36,13,246,3,38.800000000000004,2.766666666666667,0,72.9722222222222,8.542378019159665,0.9716263997430182,3,3,4,0,5
35,14,249,3,39.2,2.845714285714286,0,72.47333877551024,8.513127437993058,1.002820986684943,3,3,4,1,7
37,14,250,2,37.2,2.691891891891892,0,69.27263696128577,8.323018500597351,0.9702820767605018,3,3,5,0,5
33,12,246,3,35.199999999999996,3.0181818181818185,0,72.53421487603309,8.51670211267443,1.0631515972679864,3,4,4,2,5
40,14,248,3,38.800000000000004,2.49,0,69.64390000000003,8.345292085960804,0.8951154642707716,3,3,4,1,6
36,12,249,3,37.6,2.766666666666667,0,71.6655555555555,8.465551107609917,0.980444142914559,3,3,4,0,6
33,11,250,3,42.8,3.0181818181818185,0,88.3790633608816,9.401013953871232,0.9631456243947915,3,3,4,0,5
32,16,250,2,39.2,3.112500000000001,0,80.29734375000011,8.960878514409183,1.042029527014032,3,3,4,0,6
33,9,250,3,37.2,3.0181818181818185,0,76.422699724518,8.742007762780698,1.0357512484826876,3,3,4,0,4
37,14,249,2,37.6,2.691891891891892,0,70.62182615047494,8.403679322206134,0.9609690429686278,3,3,4,0,4
